Transform,Detail,Approximate,Metric,Value
1,6,,6,0.0028062
1,6,,7,0.19718
1,6,,8,0.0012846
1,7,,1,0.15071
1,7,,2,0.6816
1,7,,3,0.42637
1,7,,4,0.0037512
1,7,,5,0.80416
1,7,,6,0.0030504
1,7,,7,0.14403
1,7,,8,0.001295
1,1,,1,0.29744
1,1,,2,0.68869
1,1,,3,0.54415
1,1,,4,0.0044892
1,1,,5,0.80856
1,1,,6,0.0023701
1,1,,7,0.2679
1,1,,8,0.0029948
1,2,,1,0.24573
1,2,,2,0.70659
1,2,,3,0.42349
1,2,,4,0.003972
1,2,,5,0.80656
1,2,,6,0.0038804
1,2,,7,0.2046
1,2,,8,0.0030327
1,3,,1,0.25911
1,3,,2,0.48469
1,3,,3,0.50759
1,3,,4,0.0036221
1,3,,5,0.80746
1,3,,6,0.0024621
1,3,,7,0.10583
1,3,,8,0.0029572
1,4,,1,0.60707
1,4,,2,0.43615
1,4,,3,0.68991
1,4,,4,0.0054332
1,4,,5,0.83907
1,4,,6,0.0033837
1,4,,7,0.6006
1,4,,8,0.0029996
1,5,,1,0.24218
1,5,,2,0.70783
1,5,,3,0.4695
1,5,,4,0.003663
1,5,,5,0.80643
1,5,,6,0.0036885
1,5,,7,0.13322
1,5,,8,0.0029954
1,6,,1,0.28345
1,6,,2,0.61279
1,6,,3,0.55118
1,6,,4,0.0043548
1,6,,5,0.80827
1,6,,6,0.002746
1,6,,7,0.29114
1,6,,8,0.0029912
1,7,,1,0.25323
1,7,,2,0.71202
1,7,,3,0.49403
1,7,,4,0.0042075
1,7,,5,0.80666
1,7,,6,0.0029508
1,7,,7,0.20305
1,7,,8,0.0029999
1,1,,1,0.31326
1,1,,2,0.5586
1,1,,3,0.55089
1,1,,4,0.0047022
1,1,,5,0.81295
1,1,,6,0.0024857
1,1,,7,0.31371
1,1,,8,0.0021133
1,2,,1,0.2825
1,2,,2,0.60724
1,2,,3,0.48556
1,2,,4,0.0042797
1,2,,5,0.81111
1,2,,6,0.0040553
1,2,,7,0.26094
1,2,,8,0.0021614
1,3,,1,0.28518
1,3,,2,0.35227
1,3,,3,0.46605
1,3,,4,0.0035163
1,3,,5,0.81169
1,3,,6,0.0025008
1,3,,7,0.12866
1,3,,8,0.0020657
1,4,,1,0.62123
1,4,,2,0.45275
1,4,,3,0.7757
1,4,,4,0.0055852
1,4,,5,0.86603
1,4,,6,0.0033559
1,4,,7,0.58717
1,4,,8,0.0021154
1,5,,1,0.26608
1,5,,2,0.59941
1,5,,3,0.47239
1,5,,4,0.0036892
1,5,,5,0.81013
1,5,,6,0.0037658
1,5,,7,0.17316
1,5,,8,0.0021138
1,6,,1,0.30049
1,6,,2,0.46006
1,6,,3,0.59473
1,6,,4,0.0044073
1,6,,5,0.8128
1,6,,6,0.0027265
1,6,,7,0.30986
1,6,,8,0.0021051
1,7,,1,0.28646
1,7,,2,0.60048
1,7,,3,0.47149
1,7,,4,0.0043855
1,7,,5,0.81106
1,7,,6,0.0030718
1,7,,7,0.25494
1,7,,8,0.0021224
1,1,,1,0.26152
1,1,,2,0.47381
1,1,,3,0.58166
1,1,,4,0.0042822
1,1,,5,0.81017
1,1,,6,0.0024697
1,1,,7,0.32109
1,1,,8,0.0015697
1,2,,1,0.21788
1,2,,2,0.58637
1,2,,3,0.5054
1,2,,4,0.0038582
1,2,,5,0.80796
1,2,,6,0.0038102
1,2,,7,0.2627
1,2,,8,0.001611
1,3,,1,0.25438
1,3,,2,0.31456
1,3,,3,0.49607
1,3,,4,0.0038637
1,3,,5,0.8099
1,3,,6,0.0025316
1,3,,7,0.16725
1,3,,8,0.0015287
1,4,,1,0.60392
1,4,,2,0.43342
1,4,,3,0.73883
1,4,,4,0.0052837
1,4,,5,0.86334
1,4,,6,0.0025607
1,4,,7,0.81799
1,4,,8,0.0015919
1,5,,1,0.21976
1,5,,2,0.57735
1,5,,3,0.45512
1,5,,4,0.0037269
1,5,,5,0.80789
1,5,,6,0.0035471
1,5,,7,0.18523
1,5,,8,0.0015691
1,6,,1,0.25228
1,6,,2,0.46511
1,6,,3,0.578
1,6,,4,0.0042315
1,6,,5,0.80982
1,6,,6,0.0026742
1,6,,7,0.38142
1,6,,8,0.0015849
1,7,,1,0.24714
1,7,,2,0.5753
1,7,,3,0.50524
1,7,,4,0.004267
1,7,,5,0.80908
1,7,,6,0.0027277
1,7,,7,0.29401
1,7,,8,0.0015614
1,1,,1,0.44137
1,1,,2,0.5107
1,1,,3,0.50848
1,1,,4,0.0053926
1,1,,5,0.81967
1,1,,6,0.0022498
1,1,,7,0.41191
1,1,,8,0.0066619
1,2,,1,0.47328
1,2,,2,0.54201
1,2,,3,0.44973
1,2,,4,0.0050281
1,2,,5,0.82189
1,2,,6,0.0036482
1,2,,7,0.30309
1,2,,8,0.0068532
1,3,,1,0.46877
1,3,,2,0.46755
1,3,,3,0.53574
1,3,,4,0.0044327
1,3,,5,0.82147
1,3,,6,0.0022998
1,3,,7,0.19285
1,3,,8,0.0064706
1,4,,1,0.67423
1,4,,2,0.53092
1,4,,3,0.75123
1,4,,4,0.0057298
1,4,,5,0.84836
1,4,,6,0.0036559
1,4,,7,0.67339
1,4,,8,0.0066596
1,5,,1,0.41574
1,5,,2,0.53169
1,5,,3,0.45335
1,5,,4,0.0045226
